machine,debugsize,debugrva,majorimageversion,majorosversion,exportrva,exportsize,iatvra,majorlinkerversion,minorlinkerversion,numberofsections,sizeofstackreserve,dllcharacteristics,resourcesize,bitcoinaddresses,benign,debug_density,stack_reserve_per_section,log_debugsize,log_exportsize
332,84,18288,10,10,170720,104,196608,14,10,5,262144,16704,976,0,1,0.004593175850506794,52428.69514260972,4.442651256490317,4.653960350157523
34404,84,152784,10,10,216784,104,144368,14,10,6,262144,16736,976,0,1,0.0005497957900991075,43690.593849010256,4.442651256490317,4.653960350157523
332,28,4400,0,4,37024,57,4096,8,0,4,1048576,320,912,0,1,0.006363636349173554,262143.34464163842,3.367295829986474,4.060443010546419
332,28,4832,6,6,285456,163,4096,9,0,4,262144,320,17112,0,1,0.005794701974762621,65535.836160409606,3.367295829986474,5.099866427824199
34404,84,13632,10,6,16752,80,12288,14,10,6,1048576,352,1024,0,1,0.00616197182646569,174762.37539604102,4.442651256490317,4.394449154672439
34404,56,123760,0,6,174400,132,122880,12,0,6,1048576,352,1328,0,1,0.0004524886877462436,174762.37539604102,4.04305126783455,4.890349128221754
332,28,82464,0,4,0,0,8192,11,0,3,1048576,34144,960,0,1,0.0003395421031796248,349524.1682527725,3.367295829986474,0.0
34404,84,69008,10,10,76608,120,62904,14,10,7,262144,16736,1056,0,1,0.0012172501737164893,37449.08935844377,4.442651256490317,4.795790545596741
332,84,119984,0,6,139760,116,110592,14,10,6,1048576,16704,992,0,1,0.0007000933457210883,174762.37539604102,4.442651256490317,4.762173934797756
34404,84,143392,0,6,181504,116,122880,14,10,7,1048576,16736,992,0,1,0.0005858067395262074,149796.3574337751,4.442651256490317,4.762173934797756
34404,28,5200,6,6,0,0,4096,9,0,5,524288,32832,6416,0,1,0.005384615374260355,104857.39028521944,3.367295829986474,0.0
34404,84,152288,10,10,158528,296,140224,14,10,6,262144,16736,1096,0,1,0.0005515864677091047,43690.593849010256,4.442651256490317,5.6937321388027
332,84,15248,10,10,129088,296,143360,14,10,5,262144,16704,1096,0,1,0.005508919198905483,52428.69514260972,4.442651256490317,5.6937321388027
34404,84,13344,10,10,0,0,12640,14,10,7,524288,49632,2576,0,1,0.00629496402405953,74898.17871688755,4.442651256490317,0.0
332,28,25136,0,5,0,0,24576,10,0,5,1048576,33088,33016,0,1,0.0011139401650565165,209714.7805704389,3.367295829986474,0.0
332,84,9808,10,10,64256,124,69632,14,10,5,262144,16704,3016,0,1,0.00856443718539515,52428.69514260972,4.442651256490317,4.8283137373023015
34404,84,75088,10,10,87152,124,68696,14,10,6,262144,16736,3016,0,1,0.001118687406627066,43690.593849010256,4.442651256490317,4.8283137373023015
332,28,115184,0,5,0,0,114688,10,0,5,327680,33088,33208,0,1,0.00024308931793972345,65535.86892826215,3.367295829986474,0.0
34404,28,123856,0,5,0,0,122880,10,0,6,1048576,33088,11844,0,1,0.0002260689833172338,174762.37539604102,3.367295829986474,0.0
34404,28,20880,0,5,23952,116,20480,10,0,6,1048576,320,928,0,1,0.0013409961679401359,174762.37539604102,3.367295829986474,4.762173934797756
332,28,16592,0,5,18848,124,16384,10,0,5,1048576,320,952,0,1,0.0016875602689925505,209714.7805704389,3.367295829986474,4.8283137373023015
34404,28,8480,0,5,9760,71,8192,10,0,6,1048576,320,896,0,1,0.003301886788559096,174762.37539604102,3.367295829986474,4.276666119016055
332,28,8368,0,5,9744,74,8192,10,0,5,1048576,320,920,0,1,0.0033460803019286804,209714.7805704389,3.367295829986474,4.31748811353631
332,84,13524,0,6,20480,146,16384,14,10,5,1048576,320,17192,0,1,0.006211180119630893,209714.7805704389,4.442651256490317,4.990432586778736
34404,28,5152,6,6,0,0,4096,9,0,5,524288,33088,2024,0,1,0.005434782598146773,104857.39028521944,3.367295829986474,0.0
34404,84,66000,10,10,0,0,62000,14,10,6,524288,49504,2024,0,1,0.001272727272534435,87381.18769802051,4.442651256490317,0.0
332,28,4640,6,6,0,0,4096,9,0,4,262144,33088,2024,0,1,0.006034482745615339,65535.836160409606,3.367295829986474,0.0
332,28,46880,0,4,0,0,8192,8,0,3,1048576,1280,1536,0,1,0.0005972696244459748,349524.1682527725,3.367295829986474,0.0
332,56,8336,0,6,0,0,8192,12,0,5,1048576,320,796,0,1,0.0067178502798490285,209714.7805704389,4.04305126783455,0.0
34404,56,62128,0,6,97296,86,61440,12,0,6,1048576,352,1616,0,1,0.0009013649238827316,174762.37539604102,4.04305126783455,4.465908118654584
332,84,4384,10,10,0,0,16384,14,10,6,262144,49600,1072,0,1,0.019160583897900128,43690.593849010256,4.442651256490317,0.0
34404,84,12976,10,10,0,0,12560,14,10,7,524288,49632,1072,0,1,0.0064734895141233895,74898.17871688755,4.442651256490317,0.0
332,84,18400,10,10,143280,102,151552,14,10,6,262144,16704,1056,0,1,0.004565217388823251,43690.593849010256,4.442651256490317,4.634728988229636
34404,84,136432,10,10,189776,104,123168,14,10,7,262144,16736,1056,0,1,0.0006156913333663883,37449.08935844377,4.442651256490317,4.653960350157523
34404,28,5200,6,6,140944,102,4096,9,0,5,262144,320,1056,0,1,0.005384615374260355,52428.69514260972,3.367295829986474,4.634728988229636
332,28,4640,6,6,88416,102,4096,9,0,4,262144,320,1056,0,1,0.006034482745615339,65535.836160409606,3.367295829986474,4.634728988229636
332,84,5616,10,10,19568,107,24576,14,10,5,262144,16704,1048,0,1,0.014957264930631651,52428.69514260972,4.442651256490317,4.68213122712422
34404,28,74528,0,5,95520,374,73728,9,0,6,1048576,320,1424,0,1,0.0003756977242948022,174762.37539604102,3.367295829986474,5.926926025970411
332,84,9472,10,10,50768,129,57344,14,10,5,262144,16704,1088,0,1,0.008868243233880656,52428.69514260972,4.442651256490317,4.867534450455582
34404,84,61856,10,10,64784,132,57320,14,10,6,262144,16736,1088,0,1,0.0013579927571524197,43690.593849010256,4.442651256490317,4.890349128221754
34404,28,5616,6,6,0,0,4096,9,0,5,524288,33088,2016,0,1,0.004985754976877217,104857.39028521944,3.367295829986474,0.0
332,28,4880,6,6,0,0,4096,9,0,4,262144,33088,2016,0,1,0.005737704906275195,65535.836160409606,3.367295829986474,0.0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,908,0,1,0.0,349524.1682527725,0.0,0.0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,936,0,1,0.0,349524.1682527725,0.0,0.0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34144,1056,0,1,0.0,349524.1682527725,0.0,0.0
332,84,13908,10,6,24576,386,20480,14,10,6,1048576,320,1208,0,1,0.006039689383060333,174762.37539604102,4.442651256490317,5.958424693029782
34404,28,26992,0,6,0,0,24576,14,0,7,1048576,33120,436,0,1,0.0010373443979559336,149796.3574337751,3.367295829986474,0.0
34404,28,136064,0,6,0,0,118784,14,0,7,1048576,33120,436,0,1,0.00020578551268478178,149796.3574337751,3.367295829986474,0.0
332,84,10736,10,6,103536,230,114688,14,10,6,1048576,320,4824,0,1,0.007824143062756946,174762.37539604102,4.442651256490317,5.442417710521793
332,28,4704,6,6,33248,426,4096,9,0,4,262144,320,7000,0,1,0.005952380939727082,65535.836160409606,3.367295829986474,6.056784013228625
34404,28,5248,6,6,41488,426,4096,9,0,5,262144,320,7000,0,1,0.0053353658434920626,52428.69514260972,3.367295829986474,6.056784013228625
34404,84,29104,10,10,0,0,23488,14,10,7,524288,49504,5896,0,1,0.0028862012084640595,74898.17871688755,4.442651256490317,0.0
34404,84,86240,10,10,0,0,69592,14,10,7,524288,49504,1360,0,1,0.0009740259739130303,74898.17871688755,4.442651256490317,0.0
332,84,4352,10,10,10240,160,16384,14,10,5,262144,16704,1056,0,1,0.01930147054388449,52428.69514260972,4.442651256490317,5.081404364984463
34404,84,12960,10,10,14096,160,12560,14,10,6,262144,16736,1056,0,1,0.0064814814764803386,43690.593849010256,4.442651256490317,5.081404364984463
332,84,6384,10,10,69856,165,77824,14,10,5,262144,16704,1080,0,1,0.01315789471623137,52428.69514260972,4.442651256490317,5.111987788356544
332,28,4336,6,6,69072,165,4096,9,0,4,262144,320,1080,0,1,0.006457564560752849,65535.836160409606,3.367295829986474,5.111987788356544
34404,56,45856,0,6,62272,183,45056,11,0,6,1048576,352,1408,0,1,0.0012212142356024915,174762.37539604102,4.04305126783455,5.214935757608986
332,84,6016,10,10,29120,358,36864,14,10,6,262144,16704,1048,0,1,0.013962765934237424,43690.593849010256,4.442651256490317,5.883322388488279
34404,84,35616,10,10,41456,360,33856,14,10,7,262144,16736,1048,0,1,0.002358490565375536,37449.08935844377,4.442651256490317,5.8888779583328805
332,84,4512,10,10,0,0,16384,14,10,6,262144,49472,1872,0,1,0.018617021235334617,43690.593849010256,4.442651256490317,0.0
